---------------------------------------------------------------------------------------
                    Send Latency Test
 Dual-port       : OFF		Device         : rxe0
 Number of qps   : 1		Transport type : IB
 Connection type : RC		Using SRQ      : OFF
 PCIe relax order: ON
 ibv_wr* API     : OFF
 TX depth        : 1
 Mtu             : 1024[B]
 Link type       : Ethernet
 GID index       : 1
 Max inline data : 0[B]
 rdma_cm QPs	 : OFF
 Data ex. method : Ethernet
---------------------------------------------------------------------------------------
 local address: LID 0000 QPN 0x0059 PSN 0xab5532
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:10:00:00:02
 remote address: LID 0000 QPN 0x005d PSN 0x59b738
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:10:00:00:01
---------------------------------------------------------------------------------------
 #bytes #iterations    t_min[usec]    t_max[usec]  t_typical[usec]    t_avg[usec]    t_stdev[usec]   99% percentile[usec]   99.9% percentile[usec] 
 2       200          20.68          33.25        23.88    	       24.25       	1.39   		33.16   		33.25  
 4       200          22.31          32.51        24.75    	       25.26       	1.10   		31.25   		32.51  
 8       200          19.58          53.14        21.83    	       22.85       	2.25   		41.26   		53.14  
 16      200          19.83          36.17        22.37    	       23.72       	2.60   		32.17   		36.17  
 32      200          19.60          42.68        22.07    	       22.29       	1.38   		30.05   		42.68  
 64      200          19.63          34.84        22.14    	       22.79       	1.81   		32.15   		34.84  
 128     200          20.32          31.42        22.38    	       22.79       	1.34   		30.79   		31.42  
 256     200          20.15          35.45        22.42    	       23.42       	2.02   		33.94   		35.45  
 512     200          20.24          34.32        22.54    	       23.32       	1.90   		34.12   		34.32  
 1024    200          20.36          35.37        22.62    	       23.48       	2.02   		35.16   		35.37  
 2048    200          25.85          37.85        28.49    	       28.81       	1.79   		37.34   		37.85  
 4096    200          35.40          57.72        39.81    	       40.17       	2.74   		53.51   		57.72  
 8192    200          55.36          86.13        65.64    	       66.44       	4.57   		81.45   		86.13  
 16384   200          66.79          163.56       120.16   	       125.41      	13.82  		159.31  		163.56 
 32768   200          157.69         333.94       263.41   	       258.42      	32.23  		320.64  		333.94 
 65536   200          133.86         971.48       540.41   	       501.77      	106.51 		683.84  		971.48 
 131072  200          699.11         1308.47      1166.46  	       1120.70     	120.03 		1265.54 		1308.47
 262144  200          1175.90        2509.88      2326.63  	       2237.68     	255.24 		2484.30 		2509.88
 524288  200          2140.94        5672.41      3747.86  	       3912.13     	761.23 		5647.84 		5672.41
 1048576 200          3876.48        12387.37      9578.29  	       9079.12     	2497.56		12209.71 		12387.37
 2097152 200          5032.29        24199.71      18140.65  	       17759.50     	3814.10		24104.74 		24199.71
 4194304 200          18583.88        51429.79      37521.88  	       36358.89     	5595.07		48215.20 		51429.79
 8388608 200          27814.53        93746.49      75857.05  	       72843.16     	11393.09		93366.14 		93746.49
---------------------------------------------------------------------------------------
