
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      29.43
2                      63.76
4                      67.84
8                      32.61
16                     26.39
32                     27.33
64                     25.74
128                    25.46
256                    26.24
512                    27.47
1024                   28.43
2048                   41.90
4096                   79.31
8192                   42.82
16384                  96.16
32768                  94.39
65536                 104.30
131072                242.81
262144                295.11
524288                426.56
1048576               605.91
