
# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.07
2                       0.13
4                       0.24
8                       0.49
16                      0.98
32                      1.91
64                      3.72
128                     7.44
256                    14.76
512                    29.63
1024                   42.63
2048                   64.54
4096                   53.47
8192                   77.86
16384                  95.34
32768                 102.42
65536                 106.29
131072                108.23
262144                110.56
524288                110.30
1048576               107.24
2097152               105.52
4194304               101.40
