
# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.45
2                       0.94
4                       0.88
8                       0.64
16                      1.29
32                      2.57
64                      5.07
128                    10.36
256                    20.20
512                    37.63
1024                   75.58
2048                  119.85
4096                  238.55
8192                  471.92
16384                 910.55
32768                1716.60
65536                1179.34
131072               1763.20
262144               2625.70
524288               3968.51
1048576              5911.39
2097152              5272.75
4194304              6026.37
