
# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      24.87
2                      25.29
4                      25.07
8                      25.10
16                     25.28
32                     25.34
64                     25.27
128                    26.00
256                    26.23
512                    26.28
1024                   34.61
2048                   40.34
4096                   54.26
8192                   82.45
16384                 152.67
32768                 303.78
65536                 603.58
131072               1074.70
262144               2825.86
524288               3934.64
1048576              7695.35
2097152             21263.92
4194304             43092.92
