
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      28.46
2                      64.22
4                      58.54
8                      29.52
16                     28.55
32                     30.41
64                     28.31
128                    29.07
256                    28.03
512                    26.80
1024                   29.44
2048                   38.65
4096                   80.37
8192                   41.54
16384                  86.03
32768                  91.96
65536                 105.68
131072                243.87
262144                401.11
524288                465.23
1048576               662.73
