
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      29.44
2                      53.27
4                      50.69
8                      25.79
16                     25.81
32                     25.50
64                     28.23
128                    29.97
256                    32.83
512                    29.34
1024                   28.24
2048                   37.22
4096                   77.92
8192                   39.95
16384                  85.80
32768                  88.39
65536                 105.22
131072                250.37
262144                289.07
524288                432.26
1048576               600.34
