
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      41.11
2                      80.84
4                      80.10
8                      40.24
16                     40.26
32                     40.47
64                     39.93
128                    40.86
256                    41.03
512                    41.31
1024                   51.50
2048                   67.17
4096                  131.62
8192                  152.08
16384                 300.91
32768                 566.11
65536                1151.15
131072               2175.35
262144               4485.36
524288               9500.49
1048576             17724.32
